Full Name,Short Code,BGA Cat,Exact point,Alt Feet ASL,Lat/Long to WGS84,Channel (MHz),Dist  NMl,Dir, from Main Feature,Grid ref E/N  km & 2 dec,Map,Photo
Goring,GOR,A,Rail/River bridge,226,51 30.698N 001 07.680W,,10,NE,Newbury,46061 17955,GOR,GOR
Great Ponton,GPN,B,Footbridge over A1,272,52 51.762N 000 37.768W,,9,WSW,Grantham,49237 33035,GPN,GPN
Gransden NW,GR1,D#,Silo/Hangar,254,52 11.087N 000 07.328W,,10,W,Cambridge,52848 25572,GR1,GR1
Grantham,GRA,A,A1/A607,210,52 53.844N 000 39.875W,,1,SW,Grantham,48993 33416,GRA,GRA
Grasmere Church,GRC,C,Church Tower,197,54 27.454N 003 01.423W,,25,NNW,Lancaster,33373 50739,GRC,GRC
Great Ashfield,GRF,C,A/F R/Ws 24/31,200,52 15.425N 000 56.150E,,14,NW,Ipswich,60047 26616,GRF,GRF
Grimwith Reservoir,GRI,B,Tower S side,950,54 04.401N 001 54.423W,,31,E,Lancaster,40618 46416,GRI,GRI
Gransden Lodge,GRL,D#,Clubhouse,254,52 11.179N 000 06.674W,131.280,10,W,Cambridge,52922 25591,GRL,GRL
Great Malvern,GRM,C,Station/A449,203,52 07.502N 002 19.147W,,6,SW,Worcester,37825 24746,GRM,GRM
Greenlaw,GRN,A,A697/A6105,486,55 42.359N 002 27.912W,,16,WSW,Berwick,37086 64594,GRN,GRN
Grosmont,GRO,B,Castle,420,51 54.926N 002 51.964W,,11,SSW,Hereford,34053 22446,GRO,GRO
Grassington,GRS,C,B6265/River,490,54 04.231N 002 00.264W,,28,E,Lancaster,39981 46384,GRS,GRS
Great Rundale Tarn,GRT,D,Tarn Centre,2215,54 38.911N 002 25.201W,,22,SE,Carlisle,37299 52824,GRT,GRT
Grafham Water,GRW,B,SE Tower,200,52 17.387N 000 17.179W,,10,NNE,Bedford,51698 26712,GRW,GRW
Grantshouse,GSE,A,A1/A6112 Junction,387,55 52.929N 002 18.344W,,35,E,Edinburgh,38097 66549,GSE,GSE
Glassonby,GSS,D#,Intersection of 2 grass runways,597,54 44.284N 002 39.119W,,13,SE,Carlisle,35812 53832,GSS,GSS
Grantown,GTN,A,Spey Bridge/A95,591,57 19.295N 003 36.374W,,22,SE,Inverness,30337 82681,GTN,GTN
Great Orme,GTO,A#,Spot height 679ft,679,53 19.953N 003 51.136W,,39,W,Chester,27675 38334,GTO,GTO
Great Witley,GTW,C,A443/B4197,210,52 17.340N 002 21.417W,,7,NW,Worcester,37575 26571,GTW,GTW
Guisborough,GUI,C,A173/B1269,233,54 32.712N 001 02.522W,,18,E,Darlington,46207 51708,GUI,GUI
Guisborough SW,GUW,D,1050 ft spot height,1050,54 30.317N 001 06.442W,,15,E,Darlington,45790 51259,GUW,GUW
Garve,GVE,A,Rail br over A835,260,57 36.890N 004 41.362W,,17,NW,Inverness,23945 86150,GVE,GVE
Goodwood Grandstand,GWD,C#,Grandstand W,510,50 53.516N 000 44.815W,,11,ENE,Portsmouth,48823 11102,GWD,GWD
Great Yarmouth S,GYS,B,A12/B1370,30,52 34.453N 001 43.320E,,16,ESE,Norwich,65229 30389,GYS,GYS
